,AoA = 0,,AoA = 10,,AoA = 20,
,w=20,w=30,w=20,w=30,w=20,w=30
L,0.0026,0.0029,0.0022,0.0043,0.0063,0.0108
D,0.0024,0.0034,0.003,0.0041,0.0175,0.034
M,0.0001,0.0001,0.0001,0.0001,0.0002,0.0003
CL,0.0004,0.0002,0.0003,0.0003,0.001,0.0007
CD,0.0271,0.011,0.0271,0.011,0.0272,0.0112
CM,0.0002,0.0001,0.0001,0.0001,0.0003,0.0002
avg_p_foil,0.1094,0.164,0.1199,0.2292,0.2012,0.3584
avg_p_wake,0.0681,0.0926,0.0821,0.1132,0.4722,0.9063
Cp,0.109,0.0443,0.109,0.0443,0.109,0.0442
Cl/Cd,1.3764,3.263,0.1412,0.0511,0.3591,0.1494